n_samples,algorithm,ddim.schedule_params.jump_length,ddim.schedule_params.jump_n_sample,optimize_xt.num_iteration_optimize_xt,optimize_xt.lr_xt,lpips_score_sample0,psnr_score_sample0,ssim_score_sample0,mean time
1,ddim,5,2,2,0.03,0.217,11.623,0.645,43.85079503059387
1,ddim,10,3,8,0.03,0.217,11.623,0.645,46.018697023391724
1,o_ddim,10,2,8,0.03,0.148,17.078,0.715,4628.4618508815765
1,o_ddim,10,2,2,0.01,0.134,15.084,0.738,580.0363793373108
1,o_ddim,5,1,8,0.01,0.129,17.732,0.741,1518.7798240184784
1,repaint,5,1,5,0.01,0.142,15.788,0.757,396.6053833961487
1,ddim,5,1,2,0.03,0.217,11.623,0.645,44.25000286102295
1,ddim,5,3,8,0.03,0.217,11.623,0.645,42.34080624580383
1,ddim,10,3,5,0.03,0.217,11.623,0.645,45.95142602920532
1,o_ddim,10,1,2,0.01,0.136,18.139,0.756,283.9433584213257
1,repaint,5,1,2,0.01,0.142,15.788,0.757,395.99558663368225
1,ddim,10,3,5,0.02,0.217,11.623,0.645,43.97057628631592
1,ddim,5,3,2,0.01,0.217,11.623,0.645,45.558006048202515
1,repaint,10,1,8,0.03,0.142,15.788,0.757,868.007878780365
1,o_ddim,5,1,2,0.02,0.143,17.545,0.731,312.86527943611145
1,ddim,20,1,8,0.03,0.217,11.623,0.645,45.6915225982666
1,repaint,10,3,8,0.01,0.142,15.788,0.757,867.5603783130646
1,ddim,5,3,2,0.02,0.217,11.623,0.645,45.49947428703308
1,repaint,5,2,8,0.03,0.142,15.788,0.757,398.06604766845703
1,repaint,20,2,2,0.03,0.142,15.788,0.757,396.8478147983551
1,ddim,20,1,8,0.01,0.217,11.623,0.645,44.12226867675781
1,repaint,10,3,5,0.02,0.142,15.788,0.757,839.6067345142365
1,ddim,20,2,2,0.03,0.217,11.623,0.645,44.17922282218933
1,ddim,10,2,2,0.02,0.217,11.623,0.645,44.24869155883789
1,ddim,20,3,2,0.03,0.217,11.623,0.645,44.88259267807007
1,o_ddim,5,3,5,0.03,0.146,18.434,0.734,4823.96616435051
1,ddim,20,3,5,0.01,0.217,11.623,0.645,44.92775917053223
1,repaint,20,1,2,0.03,0.142,15.788,0.757,869.2007803916931
1,repaint,10,1,2,0.03,0.142,15.788,0.757,871.2058491706848
1,ddim,10,1,8,0.03,0.217,11.623,0.645,44.0104718208313
1,o_ddim,5,2,5,0.01,0.113,18.169,0.748,2467.843915939331
1,repaint,5,3,8,0.02,0.142,15.788,0.757,867.7239573001862
1,ddim,5,3,5,0.02,0.217,11.623,0.645,44.82742190361023
1,o_ddim,5,2,8,0.03,0.157,17.133,0.694,4184.9692397117615
1,ddim,5,2,5,0.02,0.217,11.623,0.645,45.09882307052612
